item,reverse,factor
"É conversador, comunicativo.",FALSE,E
Às vezes é frio e distante.,TRUE,A
Tende a ser crítico com os outros.,TRUE,A
"É minucioso, detalhista no trabalho.",FALSE,C
"É assertivo, não teme expressar o que sente.",FALSE,E
Insiste até concluir a tarefa ou o trabalho.,FALSE,C
"É depressivo, triste.",FALSE,N
Gosta de cooperar com os outros.,FALSE,A
"É original, tem sempre novas idéias.",FALSE,O
"É temperamental, muda de humor facilmente.",FALSE,N
"É inventivo, criativo.",FALSE,O
É reservado.,TRUE,E
"Valoriza o artístico, o estético.",FALSE,O
"É emocionalmente estável, não se altera facilmente.",TRUE,N
É prestativo e ajuda os outros.,FALSE,A
"É, às vezes, tímido, inibido.",TRUE,E
Pode ser um tanto descuidado.,TRUE,C
"É amável, tem consideração pelos outros.",FALSE,A
Tende a ser preguiçoso.,TRUE,C
Faz as coisas com eficiência.,FALSE,C
"É relaxado, controla bem o estresse.",TRUE,N
É facilmente distraído.,TRUE,C
Mantém-se calmo nas situações tensas.,TRUE,N
Prefere trabalho rotineiro.,TRUE,O
É curioso sobre muitas coisas diferentes.,FALSE,O
"É sociável, extrovertido.",FALSE,E
É geralmente confiável.,FALSE,A
"É, às vezes, rude (grosseiro) com os outros.",TRUE,A
É cheio de energia.,FALSE,E
"Começa discussões, disputas com os outros.",TRUE,A
É um trabalhador de confiança.,FALSE,C
Faz planos e os segue a risca.,FALSE,C
Tem uma imaginação fértil.,FALSE,O
Fica tenso com frequência.,FALSE,N
"É engenhoso, alguém que gosta de analisar profundamente as coisas.",FALSE,O
Fica nervoso facilmente.,FALSE,N
Gera muito entusiasmo.,FALSE,E
Tende a ser desorganizado.,TRUE,C
"Gosta de refletir, brincar com as idéias.",FALSE,O
"Tem capacidade de perdoar, perdoa fácil.",FALSE,A
Preocupa-se muito com tudo.,FALSE,N
"Tende a ser quieto, calado.",TRUE,E
Tem poucos interesses artísticos.,TRUE,O
"É sofisticado em artes, música ou literatura.",FALSE,O